初め	TKA-SNI／SKNIA
終わり	AU-SKA／STI
まとめ	SKNA-TAU／SKNIA
私	SKA-TA／SI
あなた	A-NA／TA
名前	NA-SKNA／IA
明日	A-SI／TA
心	KAU-KAU／STAU
話	TKA-NA／SI
所	TAU-KAU／STAU
光	TKI-KA／STI
宝	TA-KA／STA
力	TI-KA／STA
ゆっくり	YUtk-KU／STI
ただし	TA-TNA／SI
例えば	TA-TAU／IA-TKNA
なるほど	NA-STU／TKAU-TNAU
概ね	AU-AU／SKNU-NIA
あらかた	A-STA／KA-TA
ありがとう	A-STI／KNA-TIAU
ごめんなさい	KNAU-SKNIAn／NA-SY
喜び	YAU-STAU／KAU-TKNI
驚き	AU-TNAU／STAU-KI
悲しみ	KA-NA／SI-SKNI
楽しさ	TA-NAU／SI-SA
美しい	Ut-KU／SI-I
使いやすい	TU-KY／YA-SIU
思い出	AU-SKNAU／I-TNIA
お出かけ	AU-TNIA／KA-KIA
おしゃべり	AU-SYA／TKNIA-STI
