公共	KIAU-KYI
交通	KIAU-TYIU
機関	KI-KAn
入力	NYIU-STYAUk
出力	SYUt-STYAUk
計算	KYIA-SAn
処理	SYAU-STI
確認	KAk-NIn
設定	SIAtk-TYIA
削除	SAk-SNYAU
保存	TKAU-SNAUn
更新	KIAU-SIn
検索	KIAn-SAk
重複	TYI-TKUk
除外	SNYAU-KNY
感覚	KAn-KAk
適当	TIAnk-TIAU
微妙	TKNI-SKNYI
起動	KI-TNIAU
終了	SYIU-STYI
変更	TKIAn-KIAU
拡大	KAk-TNY
縮小	SYUk-SYI
選択	SIAn-TAk
機能	KI-NIAU
画面	KNA-SKNIAn
情報	SNYI-TKIAU
変換	TKIAn-KAn
修正	SYIU-SYIA
作成	SAk-SYIA
編集	TKIAn-SYIU
登録	TIAU-STAUk
販売	TKAn-TKNY
管理	KAn-STI
実行	SNItk-KIAU
許可	KYAU-KA
認証	NIn-SYI
棄却	KI-KYAk
水準	SIU-SNYUn
分析	TKNUn-SIAnk
収集	SYIU-SYIU
速記	SAUtk-KI
習得	SYIU-TAUk
大会	TY-KY
出場	SYUt-SNYI
打鍵	TNA-KIAn
速度	SAUk-TNAU
向上	KIAU-SNYI
練習	STIAn-SYIU
完了	KAn-STYI
