歩く	A-STU
頂く	TA-TNA
抱く	I-TNA
動く	U-KNAU
輝く	KA-YA
気が付く	KI-TU
気付く	KI-TNU
扱く	SI-KNAU
叩く	TA-TA
続く	TU-TNU
除く	NAU-SNAU
叩く	TKA-TA
働く	TA-STA
開く	TKI-STA
磨く	SKNI-KNA

急ぐ	I-SAU
稼ぐ	KA-SIA
担ぐ	KA-TU
捧ぐ	SA-SA
繋ぐ	TU-NA
塞ぐ	TKU-SA
防ぐ	TKU-SIA
跨ぐ	SKNA-TA

明かす	A-KA
活かす	I-KA
致す	I-TA
落とす	AU-TAU
欠かす	KA-KA
隠す	KA-KU
暮らす	KU-STA
殺す	KAU-STAU
壊す	KAU-SKA
探す	SA-KNA
示す	SI-SKNIA
ずらす	SNU-STA
倒す	TA-AU
出す	TNA-
潰す	TU-TKNU
照らす	TIA-STA
直す	NA-AU
逃がす	NI-KNA
伸ばす	NAU-TKNA
話す	TKA-NA
剥がす	TKA-KNA
任す	SKNA-KA
満たす	SKNI-TA
見なす	SKNI-NA
見回す	SKNI-SKNA
見渡す	SKNI-SKA
揺らす	YU-STA
渡す	SKA-TA

穿つ	U-KNA
育つ	SAU-TNA
保つ	TA-SKNAU
目立つ	SKNIA-TNA

遊ぶ	A-SAU
選ぶ	IA-STA
及ぶ	AU-YAU
転ぶ	KAU-STAU
並ぶ	NA-STA
運ぶ	TKA-KAU
滅ぶ	TKAU-STAU
学ぶ	SKNA-NA
結ぶ	SKNU-SU
喜ぶ	YAU-STAU

否む	I-NA
羨む	U-STA
屈む	KA-KNA
霞む	KA-SU
沈む	SI-SNU
進む	SU-SU
頼む	TA-NAU
啄む	TIU-TKNA
包む	TU-TU
摘む	TU-SKNA
悩む	NA-YA
盗む	NU-SU
望む	NAU-SNAU
挟む	TKA-SA
引っ込む	TKI-KAU
含む	TKU-KU
微笑む	TKAU-TKAU
休む	YA-SU

要る	I-
帰る	KA-IA
限る	KA-KNI
頑張る	KNA-TKNA
頑張る	KNA-
気にいる	KI-I
気になる	KI-NA
下さる	KU-TNA
蹴る	KIA-
異なる	KAU-TAU
しゃべる	SYA-TKNIA
滑る	SU-TKNIA
助かる	T-KA
携わる	TA-SNU
なる	NA-
走る	TKA-SI
入る	TKY-
憚る	TKA-TKNA
やる	YA-
やる	-YA
分かる	SKA-

会う	-A
洗う	A-STA
争う	A-SAU
言う	IU-
誘う	I-SNA
祝う	I-SKA
失う	U-SI
歌う	U-TA
疑う	U-KNA
敬う	U-YA
行う	AU-KAU
思う	AU-SKNAU
思う	AU-
叶う	KA-NA
構う	KA-SKNA
狂う	KU-STU
仕合う	SI-A
従う	SI-TA
仕舞う	SI-SKNA
救う	SU-KU
揃う	SAU-STAU
戦う	TA-TA
誓う	TI-KA
違う	TI-KNA
使う	TU-KA
培う	TU-TI
集う	TU-TNAU
衒う	TIA-STA
出会う	TNIA-A
伴う	TAU-NA
習う	NA-STA
似合う	NI-A
賑わう	NI-SKA
願う	NIA-KNA
呪う	NAU-STAU
払う	TKA-STA
拾う	TKI-STAU
纏う	SKNA-TAU
見合う	SKNI-A
向かう	SKNU-KA
貰う	SKNAU-STA
笑う	SKA-STA
